price,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,state,car_age,log_odometer
22590,buick,encore gx select sport,good,unknown,other,other,unknown,SUV,al,5.0,8.545780648268149
35990,jaguar,e-pace p250 se sport,good,unknown,gas,other,unknown,other,al,7.0,9.046762057999363
17500,toyota,fj cruiser,good,6 cylinders,gas,manual,4wd,offroad,al,17.0,12.21255657932543
6000,mercedes-benz,e320 cdi,good,6 cylinders,diesel,automatic,rwd,sedan,al,18.0,11.728044909070785
25990,volvo,s60 t5 inscription sedan,good,unknown,diesel,other,unknown,sedan,al,7.0,10.0360497256191
6800,,blue bird bus,excellent,6 cylinders,diesel,automatic,rwd,bus,al,20.0,12.100717685412471
36590,volvo,s60 t6 r-design sedan 4d,good,unknown,gas,other,unknown,sedan,al,6.0,8.93840040647301
35990,volvo,s60 t6 r-design sedan 4d,good,unknown,other,other,unknown,sedan,al,6.0,9.652972804425787
33590,volvo,s60 t6 r-design sedan 4d,good,unknown,gas,other,unknown,sedan,al,6.0,9.282009658666542
38990,infiniti,qx60 luxe sport utility,good,6 cylinders,gas,other,fwd,other,al,5.0,8.571681376700306
33990,alfa-romeo,romeo stelvio ti sport suv,good,unknown,gas,other,unknown,hatchback,al,7.0,10.075506216334185
27990,lincoln,continental select sedan,good,6 cylinders,gas,automatic,unknown,sedan,al,8.0,9.877810705746144
28590,audi,q5 premium sport utility 4d,good,unknown,gas,other,unknown,SUV,al,7.0,10.34283865664343
18590,hyundai,sonata sel sedan 4d,good,unknown,gas,other,fwd,sedan,al,7.0,10.002246324559392
29990,audi,a6 2.0t premium plus sedan,good,unknown,other,automatic,unknown,sedan,al,7.0,10.126511096649761
14990,,Scion iM Hatchback 4D,good,unknown,gas,other,fwd,hatchback,al,9.0,11.085276095726181
39990,acura,mdx sh-awd sport utility,good,6 cylinders,gas,other,unknown,other,al,5.0,7.121252453244542
4000,jeep,grand cherokee laredo,good,6 cylinders,gas,automatic,rwd,SUV,al,19.0,12.546113507028412
32990,jeep,wrangler sport suv 2d,good,6 cylinders,other,other,4wd,SUV,al,6.0,7.261225091971921
27590,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,4wd,SUV,al,13.0,10.862320398675953
18590,toyota,camry le sedan 4d,good,unknown,gas,other,fwd,sedan,al,8.0,10.316391589741292
33590,ram,1500 crew cab laramie pickup,good,unknown,other,other,unknown,pickup,al,8.0,10.724698078160014
40990,jeep,wrangler unlimited rubicon,good,unknown,other,other,4wd,other,al,8.0,10.312047865551595
33590,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,4wd,SUV,al,8.0,10.543233956368958
31590,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,4wd,SUV,al,8.0,10.474241084882006
30990,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,4wd,SUV,al,8.0,10.669885194835667
14590,bmw,1 series 128i coupe 2d,good,unknown,other,other,unknown,coupe,al,13.0,11.295590013938995
20590,chrysler,300 limited sedan 4d,good,6 cylinders,gas,other,rwd,sedan,al,7.0,11.170744967181948
19990,mitsubishi,outlander sport es,good,unknown,other,other,unknown,hatchback,al,5.0,9.315060682746585
10990,nissan,sentra s sedan 4d,good,unknown,gas,other,fwd,sedan,al,12.0,11.309069702563303
26990,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,other,fwd,SUV,al,7.0,10.18546588957123
36590,gmc,acadia denali sport utility,good,6 cylinders,gas,other,unknown,SUV,al,5.0,10.405080687738513
30990,gmc,acadia slt sport utility 4d,good,6 cylinders,gas,other,unknown,SUV,al,5.0,10.468829770273567
24590,lincoln,mkz select sedan 4d,good,unknown,gas,automatic,fwd,sedan,al,7.0,9.685455913108095
8990,,smart fortwo Passion Hatchback,good,unknown,gas,automatic,rwd,coupe,al,12.0,10.98652924621328
23990,lexus,nx 200t sport utility 4d,good,unknown,other,other,unknown,hatchback,al,10.0,10.788555899181572
25590,buick,encore gx select sport,good,unknown,gas,automatic,fwd,SUV,al,5.0,7.01571242048723
52990,jaguar,e-pace p300 r-dynamic se,good,unknown,gas,other,unknown,other,al,5.0,4.382026634673881
19000,subaru,forester,like new,4 cylinders,gas,automatic,unknown,SUV,al,8.0,10.030164255362632
28000,acura,tlx,excellent,unknown,gas,automatic,fwd,sedan,al,7.0,10.915106645867503
17590,volvo,s60 t5 premier sedan 4d,good,unknown,gas,automatic,unknown,sedan,al,10.0,11.05899988833705
36590,volvo,s60 t6 r-design sedan 4d,good,unknown,gas,other,unknown,sedan,al,5.0,9.825904317877749
35990,volvo,s60 t6 inscription sedan,good,unknown,other,other,unknown,sedan,al,5.0,9.38252741428954
38590,volvo,s60 t8 r-design sedan 4d,good,unknown,gas,automatic,unknown,sedan,al,6.0,9.550733483340633
29590,lincoln,continental select sedan,good,6 cylinders,other,automatic,unknown,sedan,al,7.0,10.4057163290766
32590,alfa-romeo,romeo stelvio sport suv 4d,good,unknown,other,other,unknown,hatchback,al,7.0,9.606697461053619
27590,infiniti,qx60 3.5 sport utility,good,6 cylinders,gas,automatic,unknown,SUV,al,7.0,10.624249900129048
38990,audi,q5 45 tfsi premium plus,good,unknown,gas,other,unknown,SUV,al,5.0,9.855766816324717
21950,toyota,tacoma 4x4,excellent,4 cylinders,gas,manual,4wd,truck,al,13.0,11.87102639171204
13950,toyota,tacoma,good,4 cylinders,gas,automatic,rwd,truck,al,14.0,11.925439007731665
5900,,F-350,unknown,8 cylinders,diesel,automatic,rwd,unknown,al,24.0,12.206077645517674
12950,bmw,z4,excellent,6 cylinders,gas,automatic,rwd,convertible,al,20.0,11.150333047267459
18950,ford,f150 lariat supercrew 4x4,good,8 cylinders,gas,automatic,4wd,pickup,al,15.0,11.927707039715742
6995,volkswagen,jetta sel,excellent,5 cylinders,gas,automatic,fwd,sedan,al,14.0,12.059618107615162
12500,ford,ranger xlt,excellent,6 cylinders,gas,automatic,rwd,truck,al,17.0,11.858966064171625
16950,toyota,tacoma double cab,good,6 cylinders,gas,automatic,rwd,truck,al,18.0,11.96268174304478
22950,ford,f150 supercrew cab xlt,excellent,8 cylinders,gas,automatic,4wd,truck,al,11.0,12.022035618157597
12950,honda,crv ex,excellent,4 cylinders,gas,automatic,fwd,SUV,al,14.0,11.385035273664311
12950,mazda,mx-5 miata touring,excellent,4 cylinders,gas,automatic,rwd,convertible,al,18.0,11.414330897464664
13950,mazda,mx-5 miata grand touring,excellent,4 cylinders,gas,automatic,rwd,convertible,al,14.0,11.836717648434067
19950,porsche,boxster,excellent,6 cylinders,gas,automatic,rwd,convertible,al,16.0,11.292166568106161
13950,mazda,miata,excellent,4 cylinders,gas,manual,rwd,convertible,al,17.0,11.369643835758058
10950,lexus,rx350,excellent,6 cylinders,gas,automatic,4wd,SUV,al,16.0,12.16502145808056
13950,lexus,gx470,good,8 cylinders,gas,automatic,4wd,SUV,al,19.0,12.093972804884203
1800,toyota,rav4,good,4 cylinders,gas,manual,unknown,unknown,al,27.0,12.390633360204616
21250,ford,thunderbird,new,8 cylinders,gas,automatic,fwd,convertible,al,23.0,9.680156483641596
4500,ford,mustang,unknown,6 cylinders,gas,automatic,rwd,coupe,al,17.0,12.138954800795652
39590,chevrolet,silverado 1500 crew,good,8 cylinders,gas,other,unknown,pickup,al,5.0,9.860632242229698
26990,nissan,titan single cab sv,good,8 cylinders,gas,other,4wd,pickup,al,8.0,10.62948906996702
4299,nissan,sentra,unknown,4 cylinders,gas,automatic,fwd,sedan,al,18.0,12.151204548088618
3950,kia,spectra ex,excellent,4 cylinders,gas,automatic,unknown,sedan,al,17.0,12.41867281016837
5900,ford,f150,excellent,8 cylinders,gas,automatic,unknown,truck,al,27.0,12.273735966890268
34995,dodge,charger limousine,unknown,unknown,gas,automatic,unknown,unknown,al,13.0,10.62135173563291
3200,ford,focus,good,4 cylinders,gas,automatic,unknown,unknown,al,20.0,12.15418443737441
3495,ford,windstar,good,6 cylinders,gas,automatic,unknown,unknown,al,26.0,11.816350464687908
6500,ford,sport trac,good,6 cylinders,gas,automatic,unknown,unknown,al,23.0,11.650737681778226
16988,toyota,fj cruiser,unknown,unknown,gas,automatic,4wd,unknown,al,17.0,12.144729015289121
16988,nissan,altima,unknown,unknown,gas,automatic,fwd,unknown,al,7.0,10.959853221275816
26990,nissan,frontier,unknown,unknown,gas,automatic,rwd,unknown,al,7.0,10.367693155666892
32186,toyota,tacoma,unknown,unknown,gas,automatic,rwd,unknown,al,4.0,7.275172319452771
16477,buick,enclave,unknown,unknown,gas,automatic,fwd,unknown,al,10.0,11.551857674972016
58977,gmc,sierra 3500,unknown,unknown,gas,automatic,4wd,unknown,al,6.0,11.102985358978096
30990,chevrolet,silverado 1500 double,good,6 cylinders,gas,other,unknown,pickup,al,9.0,10.97021349900857
6900,honda,ridgeline,fair,unknown,gas,automatic,4wd,unknown,al,16.0,12.19602736016897
3750,ford,f150,unknown,unknown,gas,automatic,unknown,unknown,al,28.0,11.918397239722838
3500,toyota,camry,good,4 cylinders,gas,automatic,unknown,unknown,al,22.0,12.37581963951765
25990,bmw,5 series,unknown,6 cylinders,gas,automatic,unknown,sedan,al,9.0,11.226895360600828
8000,kia,optima,excellent,4 cylinders,gas,automatic,unknown,unknown,al,12.0,11.686887175419702
32000,chevrolet,silverado 2500,good,8 cylinders,diesel,automatic,4wd,truck,al,17.0,11.604601777542019
3399,buick,lacrosse,unknown,6 cylinders,gas,automatic,fwd,sedan,al,19.0,11.98429690833158
4000,toyota,echo,excellent,4 cylinders,gas,automatic,fwd,sedan,al,23.0,11.951186847493476
3900,hyundai,elantra,unknown,4 cylinders,gas,automatic,rwd,sedan,al,16.0,11.995388650565705
3000,chevrolet,blazer,good,6 cylinders,gas,automatic,4wd,SUV,al,21.0,11.78676973513378
2800,nissan,versa,unknown,unknown,gas,automatic,unknown,unknown,al,16.0,11.599112335481124
2500,bmw,525i,fair,6 cylinders,gas,automatic,rwd,sedan,al,30.0,11.614235789666694
53000,,Sterling Acterra,unknown,unknown,diesel,automatic,unknown,unknown,al,19.0,11.98494580927841
33590,gmc,sierra 1500 crew cab slt,good,8 cylinders,gas,other,unknown,pickup,al,11.0,10.966887085448493
12500,gmc,yukon xl,excellent,8 cylinders,gas,automatic,rwd,SUV,al,17.0,12.085750764732188
15990,ford,c-max hybrid se wagon 4d,good,unknown,hybrid,other,fwd,wagon,al,8.0,10.783031309043167
2500,honda,accord,good,6 cylinders,gas,automatic,fwd,sedan,al,17.0,12.22862638699979
20995,chevrolet,silverado 1500 ltz crew cab 4wd,unknown,unknown,unknown,automatic,4wd,pickup,al,14.0,11.83284720893952
25995,chevrolet,silverado 1500 lt crew cab 4wd,unknown,unknown,unknown,automatic,4wd,pickup,al,10.0,11.929541503055928
31995,chevrolet,silverado 1500 2lt crew cab long box 4wd,unknown,unknown,unknown,automatic,4wd,pickup,al,11.0,11.108544768674982
29000,ford,f750,unknown,unknown,diesel,automatic,unknown,unknown,al,20.0,11.25318276120769
27990,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,other,4wd,pickup,al,13.0,11.137460809134689
24990,gmc,canyon extended cab pickup,good,unknown,other,other,unknown,pickup,al,7.0,10.383750870719478
10990,mercedes-benz,ml350,excellent,6 cylinders,gas,automatic,4wd,SUV,al,14.0,11.688331497888992
3300,chrysler,300m,unknown,6 cylinders,gas,automatic,fwd,sedan,al,26.0,11.995518266993843
27995,ford,f-150,unknown,unknown,gas,automatic,4wd,unknown,al,8.0,11.522885696764481
8100,ford,escape,excellent,6 cylinders,hybrid,automatic,fwd,SUV,al,14.0,11.849404844423074
3999,infiniti,g35 sedan,unknown,6 cylinders,gas,automatic,rwd,sedan,al,22.0,12.362353911189507
5300,jeep,grand cherokee laredo,excellent,6 cylinders,gas,automatic,4wd,unknown,al,16.0,12.08954444723597
45900,,Maserati Levante,unknown,6 cylinders,gas,automatic,unknown,SUV,al,8.0,10.49360483277653
3500,chevrolet,tahoe,excellent,8 cylinders,gas,automatic,4wd,offroad,al,29.0,12.37581963951765
16902,toyota,corolla,unknown,unknown,gas,automatic,fwd,unknown,al,5.0,9.366745651140318
12307,kia,soul,unknown,unknown,gas,automatic,fwd,unknown,al,7.0,11.462231990654645
37500,ford,f-150,unknown,unknown,gas,automatic,4wd,unknown,al,7.0,10.309852255887128
21688,nissan,kicks,unknown,unknown,gas,automatic,fwd,unknown,al,5.0,8.932740634865914
29990,chevrolet,colorado extended cab,good,6 cylinders,gas,other,4wd,pickup,al,9.0,9.758635175856648
35590,chevrolet,corvette convertible,good,8 cylinders,gas,other,rwd,other,al,15.0,10.369734132904151
18977,kia,sorento,unknown,unknown,gas,automatic,fwd,unknown,al,8.0,11.156464783789877
6877,nissan,pathfinder,unknown,unknown,gas,automatic,rwd,unknown,al,18.0,11.95422093007922
500,,SPECIAL FINANCE PROGRAM 2020,fair,other,other,other,unknown,bus,al,4.0,7.244941546337007
12500,volkswagen,passat tdi,excellent,unknown,diesel,automatic,unknown,unknown,al,10.0,11.522885696764481
27998,porsche,cayman,unknown,6 cylinders,gas,automatic,rwd,coupe,al,17.0,11.149168358761834
6800,mercedes-benz,clk320,good,6 cylinders,gas,automatic,rwd,convertible,al,21.0,11.667370387218226
45000,chevrolet,silverado,excellent,8 cylinders,gas,automatic,4wd,truck,al,8.0,11.429554725537322
2550,cadillac,srx,unknown,6 cylinders,gas,automatic,rwd,SUV,al,21.0,12.319874433192322
12500,ford,taurus,like new,unknown,gas,automatic,fwd,unknown,al,10.0,11.407576060361786
3800,nissan,altima,unknown,unknown,gas,automatic,unknown,unknown,al,14.0,11.951186847493476
2500,,1987 Saab 900 Turbo,fair,4 cylinders,gas,manual,fwd,coupe,al,38.0,11.736077016252437
2975,,Suzuki XL-7,unknown,6 cylinders,gas,automatic,rwd,SUV,al,19.0,12.28928263974426
7980,bmw,x3,unknown,4 cylinders,gas,manual,rwd,SUV,al,12.0,11.959506924271471
7800,honda,accord ex-l,excellent,4 cylinders,gas,manual,unknown,unknown,al,20.0,11.951186847493476
9000,mazda,miata mx-5,excellent,4 cylinders,gas,automatic,rwd,convertible,al,17.0,10.945547126244623
5980,cadillac,sts,unknown,8 cylinders,gas,automatic,rwd,sedan,al,20.0,11.771042260159502
13500,chevrolet,corvette,like new,8 cylinders,gas,manual,unknown,hatchback,al,25.0,11.429554725537322
5980,acura,tl,unknown,6 cylinders,gas,automatic,fwd,sedan,al,20.0,12.099166491544166
2675,toyota,camry,unknown,4 cylinders,gas,automatic,fwd,sedan,al,29.0,12.01200234170167
5980,nissan,murano,unknown,6 cylinders,gas,automatic,fwd,SUV,al,19.0,12.091721838034214
34995,ram,2500,unknown,unknown,diesel,automatic,4wd,unknown,al,7.0,12.259618151783465
6980,kia,sorento,unknown,6 cylinders,gas,other,rwd,SUV,al,14.0,12.113529633582962
31990,jeep,wrangler sport s utility 2d,good,6 cylinders,gas,other,4wd,other,al,8.0,6.79346613258001
6980,toyota,avalon,unknown,6 cylinders,gas,automatic,fwd,sedan,al,17.0,11.975961124200325
11500,honda,odyssey ex,good,unknown,gas,automatic,unknown,van,al,12.0,11.429554725537322
2600,buick,lesabre,unknown,6 cylinders,gas,automatic,fwd,sedan,al,25.0,12.264633963728345
4980,ford,edge,unknown,6 cylinders,gas,automatic,4wd,sedan,al,18.0,12.090078009733007
26995,ford,f-350,unknown,unknown,diesel,automatic,4wd,unknown,al,10.0,12.417147664184915
27990,toyota,tacoma access cab pickup,good,unknown,other,other,unknown,pickup,al,11.0,9.787290758133617
32990,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,4wd,other,al,8.0,10.310351681558
34995,ram,1500,unknown,unknown,gas,automatic,rwd,unknown,al,7.0,11.552155793461898
5980,gmc,terrain,unknown,4 cylinders,gas,manual,rwd,SUV,al,15.0,12.247022631859128
4500,ford,f250 xl,unknown,unknown,gas,automatic,unknown,unknown,al,11.0,12.429220196836383
5480,chevrolet,captiva sport,unknown,4 cylinders,gas,automatic,fwd,SUV,al,12.0,12.115666421654158
16990,kia,forte koup ex coupe 2d,good,unknown,gas,other,fwd,coupe,al,9.0,9.777470711952642
37590,ford,f150 supercrew cab xl,good,6 cylinders,gas,other,unknown,pickup,al,6.0,9.066931788680826
3975,chevrolet,cobalt,unknown,4 cylinders,gas,automatic,fwd,sedan,al,15.0,11.998162474856553
6480,buick,enclave,unknown,6 cylinders,gas,automatic,rwd,SUV,al,17.0,12.121924438482036
22900,dodge,grand caravan,unknown,6 cylinders,gas,automatic,fwd,unknown,al,12.0,11.130624973392523
24997,mercedes-benz,m-class,unknown,8 cylinders,gas,automatic,unknown,SUV,al,11.0,11.321207903655871
6700,nissan,murano,excellent,6 cylinders,gas,automatic,unknown,unknown,al,14.0,12.122696471358964
26500,nissan,rogue sport,unknown,unknown,gas,automatic,unknown,unknown,al,6.0,9.207937487359873
27988,nissan,altima,unknown,unknown,gas,automatic,unknown,unknown,al,5.0,9.62509552699144
20870,infiniti,qx30,unknown,unknown,gas,automatic,fwd,unknown,al,6.0,10.306917257282223
26988,nissan,pathfinder,unknown,unknown,gas,automatic,4wd,unknown,al,7.0,10.097202293159526
19990,subaru,legacy 2.5i premium sedan,good,unknown,gas,other,unknown,sedan,al,8.0,9.240869577011006
19877,ram,2500,unknown,unknown,diesel,automatic,unknown,unknown,al,14.0,12.118797597418732
11977,gmc,terrain,unknown,unknown,gas,automatic,fwd,unknown,al,10.0,11.576763740993407
29998,mercedes-benz,cls,unknown,8 cylinders,gas,automatic,rwd,sedan,al,11.0,10.957921526091724
12895,chevrolet,corvette,unknown,8 cylinders,gas,automatic,rwd,hatchback,al,34.0,10.685698169836833
3650,jeep,grand cherokee,unknown,6 cylinders,gas,automatic,rwd,SUV,al,26.0,11.927548510863158
8500,rover,,good,8 cylinders,gas,automatic,4wd,SUV,al,19.0,11.845432708528067
3299,chevrolet,cavalier,unknown,4 cylinders,gas,automatic,fwd,coupe,al,22.0,12.080254287969952
4499,toyota,camry,unknown,4 cylinders,gas,automatic,fwd,sedan,al,20.0,12.047592607541686
5940,kia,soul,unknown,4 cylinders,gas,manual,rwd,wagon,al,14.0,12.003870778422792
3999,volvo,s60,unknown,5 cylinders,gas,automatic,fwd,sedan,al,16.0,12.111794932548499
8980,jeep,grand cherokee,unknown,6 cylinders,unknown,manual,rwd,SUV,al,14.0,12.06559144455055
4950,toyota,4runner limited,unknown,6 cylinders,gas,automatic,rwd,SUV,al,24.0,12.491255347155265
4980,chevrolet,traverse,unknown,6 cylinders,gas,manual,rwd,SUV,al,15.0,12.245884530061064
